"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MakespansWindow.g.i.cs", "C#", 61, 0, 0, 0, 15, 15, 91
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\RPQViewer.g.cs", "C#", 50, 0, 0, 0, 15, 12, 77
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\RPQViewer.g.i.cs", "C#", 50, 0, 0, 0, 15, 12, 77
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.designer.deps.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.designer.runtimeconfig.json", "JSON", 0, 0, 17, 0, 0, 0, 17
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\Visualization.g.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\Visualization.g.i.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\SPD1.csproj.nuget.dgspec.json", "JSON", 0, 0, 69, 0, 0, 0, 69
"c:\Users\mkale\source\repos\SPD2021\Program\obj\SPD1.csproj.nuget.g.props", "XML", 0, 19, 0, 0, 0, 0, 19
"c:\Users\mkale\source\repos\SPD2021\Program\obj\SPD1.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\mkale\source\repos\SPD2021\Program\obj\project.assets.json", "JSON", 0, 0, 75, 0, 0, 0, 75
"Total", "-", 5729, 1007, 282, 16, 664, 1249, 8947
